run_id,checkpoint,training_seed,evaluation_suite,episode_seed,success,termination_reason,episode_steps,episode_return,final_insertion_depth,max_contact_force,mean_contact_force,force_above_threshold_duration,lateral_error_final,orientation_error_final,peg_mass,peg_friction,socket_friction,initial_xy_offset,initial_orientation_error
2026-08-10_18-03-38,/home/as22cq/Projects/Policy-RL-Peg_insertion/force_peg_rl/logs/rl_games/Forge/2026-08-10_18-03-38/nn/Forge.pth,44,nominal,1000,False,timeout,149,37.55776596069336,0.0623069703578949,16.201866149902344,11.746512413024902,1.1500000953674316,0.03834332898259163,2.902879476547241,0.023561738431453705,0.75,0.75,0.01671551913022995,0.7032023668289185
2026-08-10_18-03-38,/home/as22cq/Projects/Policy-RL-Peg_insertion/force_peg_rl/logs/rl_games/Forge/2026-08-10_18-03-38/nn/Forge.pth,44,nominal,1000,False,timeout,149,226.89549255371094,0.006704907864332199,29.036808013916016,16.445417404174805,1.1416667699813843,0.000725636025890708,1.3223155736923218,0.017124135047197342,0.75,0.75,0.008148709312081337,0.36910954117774963
2026-08-10_18-03-38,/home/as22cq/Projects/Policy-RL-Peg_insertion/force_peg_rl/logs/rl_games/Forge/2026-08-10_18-03-38/nn/Forge.pth,44,nominal,1000,False,timeout,149,35.53389358520508,0.024183154106140137,26.476266860961914,15.503739356994629,1.1666667461395264,0.002053812611848116,1.8472899198532104,0.014178655110299587,0.75,0.75,0.023647740483283997,0.1123204231262207
2026-08-10_18-03-38,/home/as22cq/Projects/Policy-RL-Peg_insertion/force_peg_rl/logs/rl_games/Forge/2026-08-10_18-03-38/nn/Forge.pth,44,nominal,1000,False,timeout,149,228.99395751953125,0.009025118313729763,16.256332397460938,10.275683403015137,1.1083333492279053,0.0006809521582908928,1.8076716661453247,0.014822219498455524,0.75,0.75,0.014952776953577995,-0.2009725421667099
2026-08-10_18-03-38,/home/as22cq/Projects/Policy-RL-Peg_insertion/force_peg_rl/logs/rl_games/Forge/2026-08-10_18-03-38/nn/Forge.pth,44,nominal,1000,False,timeout,149,55.158164978027344,0.09047325700521469,23.153818130493164,10.839771270751953,0.8916667103767395,0.06022874265909195,3.059347629547119,0.015191162936389446,0.75,0.75,0.018248779699206352,0.5954028964042664
2026-08-10_18-03-38,/home/as22cq/Projects/Policy-RL-Peg_insertion/force_peg_rl/logs/rl_games/Forge/2026-08-10_18-03-38/nn/Forge.pth,44,nominal,1000,False,timeout,149,204.93310546875,0.007099973037838936,18.7602596282959,12.909088134765625,1.1500000953674316,0.0007708618068136275,1.1888141632080078,0.02277202531695366,0.75,0.75,0.018479695543646812,-0.7605499029159546
2026-08-10_18-03-38,/home/as22cq/Projects/Policy-RL-Peg_insertion/force_peg_rl/logs/rl_games/Forge/2026-08-10_18-03-38/nn/Forge.pth,44,nominal,1000,False,timeout,149,246.70367431640625,0.0016271024942398071,18.53506088256836,15.47652816772461,1.1166666746139526,0.0006738183437846601,1.673060417175293,0.01734333485364914,0.75,0.75,0.013883262872695923,-0.4561724364757538
2026-08-10_18-03-38,/home/as22cq/Projects/Policy-RL-Peg_insertion/force_peg_rl/logs/rl_games/Forge/2026-08-10_18-03-38/nn/Forge.pth,44,nominal,1000,False,timeout,149,196.15773010253906,0.01916176825761795,20.20394515991211,9.649998664855957,1.1500000953674316,0.0018140242900699377,0.73508620262146,0.015605839900672436,0.75,0.75,0.021147767081856728,-0.5716313123703003
2026-08-10_18-03-38,/home/as22cq/Projects/Policy-RL-Peg_insertion/force_peg_rl/logs/rl_games/Forge/2026-08-10_18-03-38/nn/Forge.pth,44,nominal,1000,False,timeout,149,29.408037185668945,0.06964536011219025,28.069982528686523,14.341153144836426,1.0166667699813843,0.02384142391383648,0.2311030924320221,0.01608586497604847,0.75,0.75,0.02124195732176304,0.4941501319408417
2026-08-10_18-03-38,/home/as22cq/Projects/Policy-RL-Peg_insertion/force_peg_rl/logs/rl_games/Forge/2026-08-10_18-03-38/nn/Forge.pth,44,nominal,1000,True,success,149,283.526611328125,0.00010011997073888779,19.366849899291992,15.428085327148438,1.1166666746139526,0.00044334292761050165,-0.03226017206907272,0.01495019905269146,0.75,0.75,0.019088279455900192,-0.26723089814186096
