run_id,checkpoint,training_seed,evaluation_suite,episode_seed,success,termination_reason,episode_steps,episode_return,final_insertion_depth,max_contact_force,mean_contact_force,force_above_threshold_duration,lateral_error_final,orientation_error_final,peg_mass,peg_friction,socket_friction,initial_xy_offset,initial_orientation_error
2026-08-13_11-13-50,/home/as22cq/Projects/Policy-RL-Peg_insertion/force_peg_rl/logs/rl_games/Forge/2026-08-13_11-13-50/nn/last_Forge_ep_500_rew_170.61963.pth,2,nominal,1000,False,timeout,149,38.843345642089844,0.031651392579078674,17.695234298706055,12.005377769470215,1.1416667699813843,0.013939015567302704,2.6456573009490967,0.023561738431453705,0.75,0.75,0.01671551913022995,0.7032023668289185
2026-08-13_11-13-50,/home/as22cq/Projects/Policy-RL-Peg_insertion/force_peg_rl/logs/rl_games/Forge/2026-08-13_11-13-50/nn/last_Forge_ep_500_rew_170.61963.pth,2,nominal,1000,True,success,149,406.02880859375,0.0008458234369754791,11.258099555969238,8.727770805358887,0.9416667222976685,0.0005879301461391151,2.5573763847351074,0.017124135047197342,0.75,0.75,0.008148709312081337,0.36910954117774963
2026-08-13_11-13-50,/home/as22cq/Projects/Policy-RL-Peg_insertion/force_peg_rl/logs/rl_games/Forge/2026-08-13_11-13-50/nn/last_Forge_ep_500_rew_170.61963.pth,2,nominal,1000,False,timeout,149,31.970314025878906,0.032266706228256226,22.354694366455078,13.407221794128418,1.183333396911621,0.003299382282420993,1.736779808998108,0.014178655110299587,0.75,0.75,0.023647740483283997,0.1123204231262207
2026-08-13_11-13-50,/home/as22cq/Projects/Policy-RL-Peg_insertion/force_peg_rl/logs/rl_games/Forge/2026-08-13_11-13-50/nn/last_Forge_ep_500_rew_170.61963.pth,2,nominal,1000,False,timeout,149,53.14037322998047,0.048871610313653946,13.86115837097168,8.84028148651123,0.9666666984558105,0.04085484519600868,2.6380980014801025,0.014822219498455524,0.75,0.75,0.014952776953577995,-0.2009725421667099
2026-08-13_11-13-50,/home/as22cq/Projects/Policy-RL-Peg_insertion/force_peg_rl/logs/rl_games/Forge/2026-08-13_11-13-50/nn/last_Forge_ep_500_rew_170.61963.pth,2,nominal,1000,False,timeout,149,34.833675384521484,0.06233940273523331,22.801267623901367,13.836907386779785,1.1083333492279053,0.11676961928606033,2.941204786300659,0.015191162936389446,0.75,0.75,0.018248779699206352,0.5954028964042664
2026-08-13_11-13-50,/home/as22cq/Projects/Policy-RL-Peg_insertion/force_peg_rl/logs/rl_games/Forge/2026-08-13_11-13-50/nn/last_Forge_ep_500_rew_170.61963.pth,2,nominal,1000,False,timeout,149,230.39572143554688,0.01097855158150196,19.38941192626953,12.811483383178711,1.1416667699813843,0.0005568576161749661,0.9150922298431396,0.02277202531695366,0.75,0.75,0.018479695543646812,-0.7605499029159546
2026-08-13_11-13-50,/home/as22cq/Projects/Policy-RL-Peg_insertion/force_peg_rl/logs/rl_games/Forge/2026-08-13_11-13-50/nn/last_Forge_ep_500_rew_170.61963.pth,2,nominal,1000,True,success,149,325.5489196777344,0.00021263957023620605,18.142986297607422,12.878998756408691,1.1166666746139526,0.0007985862321220338,1.8958027362823486,0.01734333485364914,0.75,0.75,0.013883262872695923,-0.4561724364757538
2026-08-13_11-13-50,/home/as22cq/Projects/Policy-RL-Peg_insertion/force_peg_rl/logs/rl_games/Forge/2026-08-13_11-13-50/nn/last_Forge_ep_500_rew_170.61963.pth,2,nominal,1000,False,timeout,149,103.37916564941406,0.030028045177459717,11.50275707244873,7.8918938636779785,1.158333420753479,0.010526892729103565,0.4640239179134369,0.015605839900672436,0.75,0.75,0.021147767081856728,-0.5716313123703003
2026-08-13_11-13-50,/home/as22cq/Projects/Policy-RL-Peg_insertion/force_peg_rl/logs/rl_games/Forge/2026-08-13_11-13-50/nn/last_Forge_ep_500_rew_170.61963.pth,2,nominal,1000,False,timeout,149,29.761484146118164,0.06395356357097626,25.715036392211914,15.108963966369629,0.9750000238418579,0.020053481683135033,0.2196531891822815,0.01608586497604847,0.75,0.75,0.02124195732176304,0.4941501319408417
2026-08-13_11-13-50,/home/as22cq/Projects/Policy-RL-Peg_insertion/force_peg_rl/logs/rl_games/Forge/2026-08-13_11-13-50/nn/last_Forge_ep_500_rew_170.61963.pth,2,nominal,1000,True,success,149,338.4305114746094,0.0002614269033074379,19.24481773376465,12.887767791748047,1.058333396911621,0.000769256439525634,1.3099528551101685,0.01495019905269146,0.75,0.75,0.019088279455900192,-0.26723089814186096
