run_id,checkpoint,training_seed,evaluation_suite,episode_seed,success,termination_reason,episode_steps,episode_return,final_insertion_depth,max_contact_force,mean_contact_force,force_above_threshold_duration,lateral_error_final,orientation_error_final,peg_mass,peg_friction,socket_friction,initial_xy_offset,initial_orientation_error
2026-08-15_22-26-44,/home/as22cq/Projects/Policy-RL-Peg_insertion/force_peg_rl/logs/rl_games/Forge/2026-08-15_22-26-44/nn/Forge.pth,1,nominal,1000,True,success,149,84.72777557373047,0.00019724667072296143,16.203044891357422,7.290384769439697,0.6666666865348816,0.0008271981496363878,-0.42364072799682617,0.023561738431453705,0.75,0.75,0.01671551913022995,0.7032023668289185
2026-08-15_22-26-44,/home/as22cq/Projects/Policy-RL-Peg_insertion/force_peg_rl/logs/rl_games/Forge/2026-08-15_22-26-44/nn/Forge.pth,1,nominal,1000,True,success,149,243.8347930908203,0.00012944266200065613,8.653115272521973,2.8648271560668945,0.01666666753590107,0.0005204443586990237,-0.8206906318664551,0.017124135047197342,0.75,0.75,0.008148709312081337,0.36910954117774963
2026-08-15_22-26-44,/home/as22cq/Projects/Policy-RL-Peg_insertion/force_peg_rl/logs/rl_games/Forge/2026-08-15_22-26-44/nn/Forge.pth,1,nominal,1000,False,timeout,149,-5.176537036895752,0.06348550319671631,12.945149421691895,3.435600996017456,0.2666666805744171,0.07242068648338318,1.1370257139205933,0.014178655110299587,0.75,0.75,0.023647740483283997,0.1123204231262207
2026-08-15_22-26-44,/home/as22cq/Projects/Policy-RL-Peg_insertion/force_peg_rl/logs/rl_games/Forge/2026-08-15_22-26-44/nn/Forge.pth,1,nominal,1000,False,timeout,149,85.60645294189453,0.07078757882118225,13.861001968383789,4.648463249206543,0.24166667461395264,0.06738357245922089,-1.3102223873138428,0.014822219498455524,0.75,0.75,0.014952776953577995,-0.2009725421667099
2026-08-15_22-26-44,/home/as22cq/Projects/Policy-RL-Peg_insertion/force_peg_rl/logs/rl_games/Forge/2026-08-15_22-26-44/nn/Forge.pth,1,nominal,1000,True,success,149,293.1593933105469,0.0003472939133644104,11.982439041137695,3.588986873626709,0.2083333432674408,0.0008035626378841698,-0.12199648469686508,0.015191162936389446,0.75,0.75,0.018248779699206352,0.5954028964042664
2026-08-15_22-26-44,/home/as22cq/Projects/Policy-RL-Peg_insertion/force_peg_rl/logs/rl_games/Forge/2026-08-15_22-26-44/nn/Forge.pth,1,nominal,1000,False,timeout,149,12.812872886657715,0.08194567263126373,7.438863754272461,0.7125802040100098,0.03333333507180214,0.04035487771034241,0.7567149996757507,0.02277202531695366,0.75,0.75,0.018479695543646812,-0.7605499029159546
2026-08-15_22-26-44,/home/as22cq/Projects/Policy-RL-Peg_insertion/force_peg_rl/logs/rl_games/Forge/2026-08-15_22-26-44/nn/Forge.pth,1,nominal,1000,False,timeout,149,76.61920928955078,0.01805144175887108,8.693413734436035,3.1923885345458984,0.0,0.05032174289226532,1.384421706199646,0.01734333485364914,0.75,0.75,0.013883262872695923,-0.4561724364757538
2026-08-15_22-26-44,/home/as22cq/Projects/Policy-RL-Peg_insertion/force_peg_rl/logs/rl_games/Forge/2026-08-15_22-26-44/nn/Forge.pth,1,nominal,1000,False,timeout,149,11.439976692199707,0.08248280733823776,3.9751031398773193,0.20661666989326477,0.0,0.02767820656299591,0.3791675269603729,0.015605839900672436,0.75,0.75,0.021147767081856728,-0.5716313123703003
2026-08-15_22-26-44,/home/as22cq/Projects/Policy-RL-Peg_insertion/force_peg_rl/logs/rl_games/Forge/2026-08-15_22-26-44/nn/Forge.pth,1,nominal,1000,False,timeout,149,13.456498146057129,0.1833745837211609,0.8156657814979553,0.12318509072065353,0.0,0.07329875230789185,-0.08594276756048203,0.01608586497604847,0.75,0.75,0.02124195732176304,0.4941501319408417
2026-08-15_22-26-44,/home/as22cq/Projects/Policy-RL-Peg_insertion/force_peg_rl/logs/rl_games/Forge/2026-08-15_22-26-44/nn/Forge.pth,1,nominal,1000,True,success,149,252.35910034179688,0.00021126214414834976,12.002578735351562,4.486950874328613,0.15000000596046448,0.0007332682725973427,-0.3223017156124115,0.01495019905269146,0.75,0.75,0.019088279455900192,-0.26723089814186096
